run_count,DQN-500-100 - Reward,SARSA-500-300 - Reward,SARSA-500-200 - Reward
0,-0.222317433416636,-0.264332112786643,-0.371401948885029
1,-0.149613851108242,-0.061798696502165,-0.200986185141614
2,-0.093256238366946,0.015776887411455,-0.228930408353556
3,-0.25549447890688,-0.261729808427919,-0.1464901072906
4,-0.195863164342286,0.042106605319041,-0.257217580604345
5,-0.199764557887951,-0.034625541169719,-0.279481060122693
6,0.011481622041883,-0.162466087247197,-0.15910746588908
7,-0.13810596532277,-0.084682856604875,-0.392344200576323
8,-0.26280653802018,0.027933962604433,-0.146326395031144
9,-0.139207247522893,-0.009727621747938,-0.148987177145827
10,-0.085450547873861,-0.152807667231313,-0.222191630510276
11,-0.238460630509827,-0.001892462778274,-0.259289694137976
12,-0.176579199281932,-0.197133885457449,-0.288178300823914
13,-0.348014881631299,-0.199191068545558,-0.121065659681629
14,-0.162113488029773,-0.26391985587933,-0.274547311446381
15,-0.01294759026309,-0.154293021155431,-0.210176457538881
16,-0.046195786382343,-0.063903872596594,-0.206809168835257
17,-0.132171540492607,-0.089425007926056,-0.362610597963598
18,-0.186674562724777,-0.059882900935821,-0.259796750201075
19,-0.072369652170959,-0.252466345960076,-0.129499637450033
20,-0.104151128984389,-0.070236486284032,-0.199134749677626
21,-0.05189114394702,-0.166811987137629,-0.248570807853686
22,0.007027223592645,-0.261921653013198,-0.234300349513867
23,-0.015765982561701,-0.181344875266839,-0.202574717939264
24,-0.170330424406146,-0.291057976059801,-0.232660565670996
25,-0.036381231531264,-0.133618221453255,-0.159354952710103
26,-0.11411032295289,-0.295078942171273,-0.218251496345528
27,0.016784909873818,-0.26074463182952,-0.150920487449282
28,-0.082779494251579,-0.270150099517585,-0.09342982686747
29,-0.175878741307048,-0.265726311170005,-0.132774277574782
30,-0.033538161138931,-0.016388172380558,-0.236834173287504
31,-0.00848010950665,0.081577950606979,-0.099131829628253
32,-0.209131899864217,-0.250389179681181,-0.21580332808136
33,-0.060401502137347,-0.130955896171683,-0.196584438569081
34,-0.239900324299663,-0.24705419731692,-0.083718832863246
35,-0.04235702986608,-0.210443186911022,-0.14467200788876
36,-0.011580144767765,-0.003474122170825,-0.298211920557857
37,-0.156121260260527,-0.02155041129919,-0.245879444254311
38,-0.211770998649295,-0.288162883750829,-0.2998442068498
39,-0.230864827110851,0.07636961775807,-0.016935707641053
40,-0.1524305236098,-0.241904022047258,-0.158502439958675
41,-0.208880513125733,-0.16375195736739,-0.091738715784391
42,-0.170256300441879,-0.246712546831912,-0.183682240803719
43,-0.047074545100198,-0.192921008958303,-0.116062891395732
44,-0.08199530485423,0.047129104377056,-0.010904845541265
45,-0.294913638458431,0.004766039286465,-0.130224842373859
46,-0.22363904382918,-0.29965237500809,-0.034086799264143
47,-0.105760193459255,0.003600426022147,-0.120350831080967
